outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,setpoint,month,hour,totCLG
26.7,0.00693005063062738,28,926.5,202.359805510459,58.2028948762067,23.074786127411,23.08408468803,8,13,0.333007882114977
27.8,0.00686282264325019,26,898.5,225.703565472244,51.8937025147216,22.5739754298775,22.5739899632511,8,14,0.789945547197746
28.3,0.00679314323184527,25,848.5,242.836547003516,42.7963521189007,21.9032732318012,21.9022763073925,8,15,0.923259251581517
27.2,0.00688118752025234,27,776,255.898546394412,32.3320826743533,22.3224295452196,22.3293161114617,8,16,0.548304732133839
26.1,0.0069279547274286,29,676.5,266.775628444867,21.285306026141,22.802145720459,22.8099066259485,8,17,0.0577007283079871
24.4,0.00690897687808669,32,309,276.703916367822,10.1172726084976,22.409408194474,22.4046673326902,8,18,0.00600003971013019
22.8,0.00705994228705807,36,0,286.544386975638,-0.828137778933909,22.3787027901831,22.3779955185596,8,19,0
21.1,0.00707154871715143,40,0,297.006720257499,-11.2086119668263,22.7295247462373,22.7362258431035,8,20,0
18.9,0.00694050573944987,45,0,308.76492316858,-20.6011449173557,22.2876345918061,22.2799432253781,8,21,0
17.8,0.00705473340417744,49,0,322.442338627523,-28.4347091297127,21.7153974735351,21.7062617501648,8,22,0
16.7,0.00698244502319595,52,0,338.372552889492,-33.9729284637472,23.6690833918444,23.6751310146662,8,23,0
16.1,0.00697905488817719,54,0,3.8247954036502,-36.7939154275986,23.9597526186255,23.9605963340631,8,0,0
15,0.00686378409922259,57,0,14.3976073286821,-35.758589610826,22.1848989586572,22.1759886413691,8,1,0
13.9,0.00695413081819801,62,0,31.2836391815792,-31.4020097817063,23.6141029447659,23.6177648027642,8,2,0
13.3,0.00690284566287295,64,0,45.9470990483926,-24.4097407354684,21.4573501139981,21.4497858361984,8,3,0
12.2,0.00692461698370326,69,0,58.4696715509473,-15.5676168456925,22.3025956915689,22.310820741693,8,4,0
11.1,0.00690517476937675,74,0,69.4103311407559,-5.52393929950583,21.8998077507097,21.8949567217872,8,5,0
11.1,0.00690517476937675,74,11,79.4416994174399,5.24143626832372,23.6262465401274,23.6306762776398,8,6,0
11.7,0.00689379942775883,71,23.5,89.255061892933,16.3606317740763,22.0309995514743,22.022307124179,8,7,0
13.3,0.00690284566287295,64,26.5,99.6285116592503,27.5004839588935,22.3119209028618,22.3132629021701,8,8,0
15,0.00698555378908841,58,29.5,111.603206554767,38.2652272417403,22.0989286965524,22.0954041424641,8,9,0
17.8,0.00705473340417744,49,59.5,126.751582226148,48.0377304941457,21.0407671012279,21.0290061843731,8,10,0
20.6,0.00702822058406561,41,331,147.232351624959,55.7036750076049,21.4437334059637,21.4523114452193,8,11,0
23.3,0.00707483304647446,35,676.5,173.964692501253,59.4656200976387,22.1350660408095,22.145791401718,8,12,0.0323528438928977
25,0.00716406542584973,32,668.5,202.289841667991,57.860699951523,23.534695681376,23.5421743363601,8,13,0.0234696576858941
26.1,0.00716960347595588,30,405,225.492529370262,51.5752872541642,22.6083818031856,22.6025559497664,8,14,0.459198255439599
26.7,0.0071804097082082,29,167,242.588971759529,42.5042696486138,23.3989920772464,23.4098438812624,8,15,0.0320060335969987
26.7,0.0071804097082082,29,111.5,255.654223698907,32.0569075964836,21.5360632457693,21.5310327889797,8,16,0.66449206929976
25,0.00716406542584973,32,138,266.544245858792,21.0171600443972,23.1293066001703,23.1374027883528,8,17,0.115414589130608
23.3,0.00727933685464385,36,67.5,276.486371120296,9.84789229386325,23.045382197242,23.0438886227558,8,18,0
21.1,0.0072503982547399,41,0,286.340773132668,-1.10566750579615,21.7776041019739,21.7612161137296,8,19,0
18.9,0.00725256952572682,47,0,296.820077863468,-11.5001327929889,23.1711621668459,23.1777309010524,8,20,0
17.2,0.00735033673666826,53,0,308.60457441267,-20.9109626170646,21.4963893535875,21.4875855450111,8,21,0
16.1,0.0072405474416691,56,0,322.327359436482,-28.7637661291305,21.7567623482621,21.7590520798144,8,22,0
15,0.00722923470097019,60,0,338.33139392112,-34.3154326108575,22.0271464420339,22.02864602024,8,23,0
13.9,0.00718104757574111,64,0,3.76460019273893,-37.1380669773422,23.8535699992534,23.8595373493316,8,0,0
13.3,0.0072301778882463,67,0,14.55693328578,-36.081243134873,22.1522852187582,22.1431896117276,8,1,0
12.2,0.00722918658539123,72,0,31.5126749919499,-31.68950707768,23.5821933779299,23.5862328149888,8,2,0
11.1,0.00718834960510516,77,0,46.2126609535481,-24.6595217922097,22.7468484211655,22.7376506711758,8,3,0
11.1,0.00718834960510516,77,0,58.7513700681186,-15.7848564564238,22.5912877907102,22.588988240146,8,4,0
10,0.0072004152066779,83,0,69.7007234993034,-5.71690215489402,23.975471059964,23.9783695043442,8,5,0
10,0.0072004152066779,83,288.5,79.7415099491351,5.06369446841364,22.1823057608443,22.1760391028823,8,6,0
11.1,0.00718834960510516,77,611.5,89.5695845549668,16.1885907681377,23.1484566568447,23.1507364018456,8,7,0
12.8,0.00720618876552495,69,698,99.965307212542,27.3233834174695,21.2564693517856,21.2478988489792,8,8,0
15.6,0.00726331747769382,58,734.5,111.9685421177,38.0696439864659,21.2192436501239,21.2185508429023,8,9,0
18.3,0.00728272292263016,49,796,127.138489188565,47.8063720105511,22.1720815748396,22.1901990861512,8,10,0
22.2,0.00737818067989476,39,843,147.584922223043,55.4190717210397,22.088659371225,22.0898301813481,8,11,0.0209001158146288
25.6,0.00742745538823294,32,862,174.144930421905,59.1305302671334,23.3196529519869,23.3288903756952,8,12,0.064136661608718
28.3,0.00734301060380292,27,919,202.223063025213,57.5150421286275,23.5831487011405,23.5903905803527,8,13,0.420448131002706
30.1833333333333,0.00748061194517809,24.6666666666667,897.666666666667,228.499793558113,49.8915392556331,21.9544873587809,22.2329456249949,8,15,2.11313018747712
31.0166666666667,0.0073670619420882,23.1666666666667,845,244.740194861992,40.5388686895513,22.4275174588102,22.6001434553337,8,16,2.24088827369236
30.2166666666667,0.00749509090779374,24.6666666666667,775.333333333333,257.338436256858,29.9657731243887,21.5336501598119,21.2718573110868,8,17,2.13856580845985
27.9333333333333,0.00763514934437031,28.6666666666667,674.666666666667,268.011390161628,18.8830663707409,23.2808025318228,23.5916194603432,8,18,1.46209593901573
25.55,0.00767849695181456,33.1666666666667,212.333333333333,277.898703766075,7.72467422618833,21.9964140537573,21.5388129847128,8,19,0.0885048781618954
22.3333333333333,0.00766430451868476,40.1666666666667,0,287.823432680901,-3.169880372287,21.4208101224972,21.2534247371943,8,20,0.0104528973524386
19.6333333333333,0.00762298776405701,47.1666666666667,0,298.491128918217,-13.4479848589356,21.3135364405256,21.368891282855,8,21,0
17.4333333333333,0.00765093034295708,54.3333333333333,0,310.586825610189,-22.6626355542331,22.5470781878236,22.8753480125735,8,22,0
15.5,0.00763617594657378,61.3333333333333,0,324.730500546249,-30.2061696215002,22.8265195178428,22.7838755135117,8,23,0
14.8166666666667,0.00758520530304315,63.6666666666667,0,18.8428576177029,-35.6573673723393,23.2507974703972,23.6670672682728,8,0,0
13.7166666666667,0.00752510190703123,67.8333333333333,0,0.605279252705122,-37.5552538343825,22.7010174666513,22.4147492556455,8,1,0
