outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneHTGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneHTGstpPrev,hourPrev,totHTGPrev,totHTG
6.1,0.00509373487989925,85,12.5,127.359315260454,5.17939698010989,19.316356443003,19.3119900961946,12,8,5.6,0.00521074855136557,90,0,117.307986842646,-4.284676277565,20.4059338863179,20.4092224194906,7,5.69115846310383,5.38432751825142
6.1,0.00509373487989925,85,31,138.614328805536,13.378034754184,18.8192212671689,18.8149363454521,12,9,6.1,0.00509373487989925,85,12.5,127.359315260454,5.17939698010989,19.316356443003,19.3119900961946,8,5.38432751825142,4.01160212929954
6.7,0.00499584263162969,80,31,151.359394903367,19.8143579349823,18.7541004317014,18.7509741197509,12,10,6.1,0.00509373487989925,85,31,138.614328805536,13.378034754184,18.8192212671689,18.8149363454521,9,4.01160212929954,3.15590785470004
7.8,0.00498265037694971,74,20,165.557394079996,23.9373810164273,20.698295195903,20.7006568365357,12,11,6.7,0.00499584263162969,80,31,151.359394903367,19.8143579349823,18.7541004317014,18.7509741197509,10,3.15590785470004,4.96776877328663
8.3,0.00487561798370025,70,13.5,180.668862967145,25.2847969787576,20.1215980263819,20.1133405639312,12,12,7.8,0.00498265037694971,74,20,165.557394079996,23.9373810164273,20.698295195903,20.7006568365357,11,4.96776877328663,3.44705465189947
9.4,0.00487694795634288,65,10.5,195.734837467331,23.6817819909751,18.6365389525211,18.6304977910057,12,13,8.3,0.00487561798370025,70,13.5,180.668862967145,25.2847969787576,20.1215980263819,20.1133405639312,12,3.44705465189947,3.13411493094064
10,0.00492160140603701,63,7.5,209.819200835434,19.3348917818346,19.1268387406569,19.128403966649,12,14,9.4,0.00487694795634288,65,10.5,195.734837467331,23.6817819909751,18.6365389525211,18.6304977910057,13,3.13411493094064,3.06193423880036
10,0.00492160140603701,63,12,222.428960196058,12.7222159784385,18.3113432381409,18.3022342028386,12,15,10,0.00492160140603701,63,7.5,209.819200835434,19.3348917818346,19.1268387406569,19.128403966649,14,3.06193423880036,2.50218653605861
9.4,0.00487694795634288,65,9,233.563960865922,4.39419034805183,19.7647989972194,19.7651313237227,12,16,10,0.00492160140603701,63,12,222.428960196058,12.7222159784385,18.3113432381409,18.3022342028386,15,2.50218653605861,4.02185473769995
8.9,0.00500640425559893,69,0,243.529238279,-5.16038044678289,19.242644388722,19.2370831750451,12,17,9.4,0.00487694795634288,65,9,233.563960865922,4.39419034805183,19.7647989972194,19.7651313237227,16,4.02185473769995,3.43743451326879
