outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneCLGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneCLGstpPrev,hourPrev,totCLGPrev,totCLG
20.6,0.0101196707592433,65,0,324.29699356575,-27.8823011669892,19.0953704820426,21.6219468935313,8,22,21.7,0.00999188806884847,60,0,310.594455694945,-20.2972183797391,20.1204963774774,22.3178303466388,21,0,0
19.4,0.0101173523890671,70,0,340.154834628643,-33.1168002771784,18.0184401843731,21.2660885168893,8,23,20.6,0.0101196707592433,65,0,324.29699356575,-27.8823011669892,19.0953704820426,21.6219468935313,22,0,0
18.3,0.0101198697520952,75,0,2.29314582667503,-35.6088583844877,16.9945259510556,23.952931072594,8,0,19.4,0.0101173523890671,70,0,340.154834628643,-33.1168002771784,18.0184401843731,21.2660885168893,23,0,0
18.3,0.0101198697520952,75,0,15.5145607328606,-34.3135066955916,16.6810461092001,21.3369051890675,8,1,18.3,0.0101198697520952,75,0,2.29314582667503,-35.6088583844877,16.9945259510556,23.952931072594,0,0,0
18.3,0.0099827725046827,74,0,31.9568914264163,-29.7899165189819,16.6604851774636,21.8710870074318,8,2,18.3,0.0101198697520952,75,0,15.5145607328606,-34.3135066955916,16.6810461092001,21.3369051890675,1,0,0
17.8,0.0100672870879449,77,0,46.2584676869156,-22.7126149373915,16.3507896046,23.643974996934,8,3,18.3,0.0099827725046827,74,0,31.9568914264163,-29.7899165189819,16.6604851774636,21.8710870074318,2,0,0
17.2,0.00994273878595811,79,0,58.5253285445251,-13.8351604812014,15.8546250861748,23.1615360807562,8,4,17.8,0.0100672870879449,77,0,46.2584676869156,-22.7126149373915,16.3507896046,23.643974996934,3,0,0
17.2,0.00994273878595811,79,0,69.2946884718753,-3.77843304102426,15.6876932212105,23.6639908035715,8,5,17.2,0.00994273878595811,79,0,58.5253285445251,-13.8351604812014,15.8546250861748,23.1615360807562,4,0,0
17.2,0.00994273878595811,79,247.5,79.2136035293738,6.99476221701852,17.3353243003594,22.080174596171,8,6,17.2,0.00994273878595811,79,0,69.2946884718753,-3.77843304102426,15.6876932212105,23.6639908035715,5,0,0
17.8,0.00980167836652949,75,561,88.9603740358674,18.1262281971405,20.2905724422682,23.5942230754988,8,7,17.2,0.00994273878595811,79,247.5,79.2136035293738,6.99476221701852,17.3353243003594,22.080174596171,6,0,0
19.4,0.00982371957259439,68,676,99.320759326133,29.2878612200893,22.6107673957766,22.6107674532611,8,8,17.8,0.00980167836652949,75,561,88.9603740358674,18.1262281971405,20.2905724422682,23.5942230754988,7,0,0.0729542649493516
21.7,0.00965365571473102,58,761.5,111.382151308566,40.0833140454828,23.8165257505809,23.816525750581,8,9,19.4,0.00982371957259439,68,676,99.320759326133,29.2878612200893,22.6107673957766,22.6107674532611,8,0.0729542649493516,0.856351522068279
24.4,0.0096023627613411,49,823,126.847285504151,49.8783731417934,23.1018028972005,23.1018028970248,8,10,21.7,0.00965365571473102,58,761.5,111.382151308566,40.0833140454828,23.8165257505809,23.816525750581,9,0.856351522068279,2.64979404516091
26.7,0.00966029482377026,43,862,148.12894269192,57.49014704979,21.7583714097065,21.7583714073575,8,11,24.4,0.0096023627613411,49,823,126.847285504151,49.8783731417934,23.1018028972005,23.1018028970248,10,2.64979404516091,5.64392220332003
29.4,0.00946230504249365,36,878,176.155669618489,60.9746852138774,22.827811342447,22.8278113834446,8,12,26.7,0.00966029482377026,43,862,148.12894269192,57.49014704979,21.7583714097065,21.7583714073575,11,5.64392220332003,6.71293789583803
31.7,0.00959492086281354,32,869,205.289167479906,58.8568149993175,23.0718973073025,23.0718991359745,8,13,29.4,0.00946230504249365,36,878,176.155669618489,60.9746852138774,22.827811342447,22.8278113834446,12,6.71293789583803,6.87692543802086
32.2,0.00956125477078309,31,835.5,228.382431426848,52.0901044937152,21.4592264018746,21.4592256355709,8,14,31.7,0.00959492086281354,32,869,205.289167479906,58.8568149993175,23.0718973073025,23.0718991359745,13,6.87692543802086,10.2582454254213
33.3,0.00951449019646157,29,778.5,245.087073199818,42.708282148505,22.3771893906306,22.3771946417462,8,15,32.2,0.00956125477078309,31,835.5,228.382431426848,52.0901044937152,21.4592264018746,21.4592256355709,14,10.2582454254213,8.55383410088868
32.2,0.00956125477078309,31,700,257.821763472176,32.0923933439483,22.3390400345094,22.3390395858063,8,16,33.3,0.00951449019646157,29,778.5,245.087073199818,42.708282148505,22.3771893906306,22.3771946417462,15,8.55383410088868,7.11354437776117
31.1,0.00956270227876573,33,592.5,268.494095432523,20.9807981741926,23.0902222427993,23.0902223127234,8,17,32.2,0.00956125477078309,31,700,257.821763472176,32.0923933439483,22.3390400345094,22.3390395858063,16,7.11354437776117,5.6131496586122
29.4,0.00972925832521982,37,264.5,278.314966216827,9.80980547878834,23.7857770739162,23.7857770742013,8,18,31.1,0.00956270227876573,33,592.5,268.494095432523,20.9807981741926,23.0902222427993,23.0902223127234,17,5.6131496586122,3.41830947446489
27.2,0.00971774982820027,42,0,288.123594520656,-1.08609325530013,22.5249077474182,22.5249077474182,8,19,29.4,0.00972925832521982,37,264.5,278.314966216827,9.80980547878834,23.7857770739162,23.7857770742013,18,3.41830947446489,1.87496442529886
25,0.0097520487759291,48,0,298.613747140651,-11.3639742159563,21.440330408041,21.440330408041,8,20,27.2,0.00971774982820027,42,0,288.123594520656,-1.08609325530013,22.5249077474182,22.5249077474182,19,1.87496442529886,0.7900337203749
23.3,0.00972323711544221,53,0,310.440312313085,-20.5940288126215,21.6575092669997,21.7519423159432,8,21,25,0.0097520487759291,48,0,298.613747140651,-11.3639742159563,21.440330408041,21.440330408041,20,0.7900337203749,0.15824235279786
21.7,0.00965365571473102,58,0,324.188136441659,-28.1980955193899,20.23339114444,22.2696326333178,8,22,23.3,0.00972323711544221,53,0,310.440312313085,-20.5940288126215,21.6575092669997,21.7519423159432,21,0.15824235279786,0
